Name,Country,Date,Rate,Certificate,Pred_Certificate,Genre,Nudity,Violence,Profanity,Alcohol,Frightening,Summarized_Text
nosferatu,Germany,1922,7.9,Not Rated,PG,"Fantasy, Horror",None,Mild,None,Mild,Moderate,"Newlyweds Hutter Gustav von Wangenheim and Ellen Greta Schroeder are saddened when Hutter is sent to Transylvania by Hutters employer Knock Alexander Grannach to arrange for Count Orloks Max Schreck purchase of a house across the street from the Hutters house in Bremen. Hutter travels to Transylvania where he stays with the Count, is bitten by the Count, and eventually escapes from the castle but not before seeing the Count depart on a cart loaded with coffins. He calls Hutter into his office and informs him that Count Orlok Max Schreck of Transylvania is looking to purchase a house in their small town. After a moment a thought occurs to Knock, he suggests Hutter sell Orlok the nice deserted house opposite Hutters own home. Hutter walks toward the castle when the door appears to open by itself. Hutter awakens the next morning to find the castle empty but a meal waiting for him. The Count is going over paperwork when he notices portrait of Hutters wife, which instantly catches his attention. The next morning Hutter decides to investigate the horrors of the castle. Back at the dock Harding is investigating the ship, finding the dead captain and a log of the journey. Hutter rushes off, leaving Ellen alone in bed."
metropolis,Germany,1927,8.3,Not Rated,PG,"Drama, Sci-Fi",Mild,Mild,None,Mild,Moderate,"He follows the workers, as Rotwang informs Joh of the same. Freder is surprised to find Maria, who has taken up the cause of the workers, as Joh and Rotwang are observing her from a separate cave. Joh persuades Rotwang to give the robot Marias appearance, as he wants to use the robot to tighten his control over the workers. Freder goes to Josaphats apartment, and since Georgy is not there, he tells Josaphat that he will go in search of Maria. Rotwang, on the other hand, tells the captive real Maria how the fake Maria is central to his plan to deceive Joh Fredersen, leading him to believe that fake Maria is doing his bidding, while the robot is actually loyal to him only. Freder and Josaphat go searching for Maria, descending to the workers city, where they find Maria claiming their precious Mediator has not come, and encouraging the workers into a fullscale rebellion Freder calls her out to be a fake, which causes a fight with the other workers. Joh Fredersen is eavesdropping on Rotwang and real Maria, learning that Rotwang is deceiving him, planning to have the factory destroyed and Freder killed. The Thin Man informs Joh that Freder is among the workers, telling him that he will be responsible for thousands of deaths, including his own son. Freder despairs when he sees Maria at the stake, but then he and the workers realize that she is in fact a robot. While Josaphat informs a relieved Grot and the workers that their children are safe, Joh Fredersen watches in terror as his son struggles with Rotwang on the cathedrals roof."
snow white and the seven dwarfs,United States,1937,7.6,G,PG,"Animation, Family, Fantasy",None,Mild,None,None,Mild,"A beautiful but orphaned princess, Snow White, lives with her stepmother, the wicked Queen, who previously relegated her to servitude. The Queen is jealous because she wants to be known as the fairest in the land when Snow Whites beauty surpasses her own. A prince passes by, hearing Snow Whites singing, and falls immediately in love with her and her beauty. Witnessing this, the Queen summons her loyal huntsman to take Snow White into the forest and kill her, but he cannot bring himself to do so because of her innocence and beauty, and instead begs Snow White to run away into the forest and never return to the castle. The forest animals befriend Snow White and take her to a cottage, where seven dwarfs live. But one day while the dwarfs are away at their diamond mine, the Queen arrives at the cottage disguised as an old peddler woman and persuades Snow White to take a bite of a poisoned apple, promising her it will make all her dreams come true. Snow White wishes for a reunion with the prince, takes a bite, falls into a deep sleep, and the peddler woman declares shes now the fairest in the land. The dwarfs, alerted by the forest animals, rush home to chase the witch away and she falls to her death, but they are too late to save Snow White. Thinking her dead, too, the dwarfs place Snow White in a glass and gold coffin in the woods and mourn for her. The prince, who had searched far and wide for Snow White, hears of Snow White asleep in the glass coffin and awakens her with loves first kiss."
stage door,United States,1937,7.8,PG,,"Comedy, Drama",No Rate,No Rate,No Rate,No Rate,No Rate,"A chronicle of the ambitions, dreams, and disappointments of aspiring actresses who all live in the same boarding house. , Terry Randall, rich society beauty, has decided to see if she can break into the Broadway theatre scene without her family connections. She goes to live in a theatrical boarding house and finds her life caught up with those of the other inmates and the everpresent disappointment that theatrical hopefuls must live with. And Terrys father has decided to give her career the shove by backing a production for her to star in, in which shes sure to flop. But his machinations hurt more than just Terry. Talented Kay Hamilton has had one success on Broadway in an Anthony Powell produced play a year ago, but cannot even get into see Powell now. Running out of money and late on rent, forgoing eating in an effort to bargain on the board part of the rent, she believes she was born to play the lead in Powells next play, Enchanted April, which she also believes will get her back on her feet if she can only get in to see Powell to get the part. Into the club comes Terry Randall, who to the others obviously has money, which her roommate, forthright cynical dancer Jean Maitland, believes is from a sugar daddy. Terrys air of superiority and intellectualism also does not sit well with Jean, especially as Terry believes one does not need to study but just be smart to act well. Unknown to Terry, her father goes about trying to prove that Terry does not have what it takes to become an actress, his action which unwittingly leads to tragedy and for the first time in her life true emotion from Terry."
the wizard of oz,United States,1939,8.0,G,PG,"Adventure, Family, Fantasy",None,Mild,None,None,Mild,"Miss Gulch shows up with an order to take Toto to the sheriff to be euthanize him, but Toto jumps out of the basket on the back of Miss Gulchs bicycle and runs back to Dorothy. Fearing that Miss Gulch, who does not know that Toto has escaped, will return, Dorothy takes the dog and runs away from home. Dorothy immediately returns home with Toto, only to find a tornado approaching. The Wicked Witch of the West Margaret Hamilton again, who is the sister of the dead witch, threatens Dorothy. Glinda advises that if Dorothy wants to go home to Kansas, she should seek the aid of the Wizard of Oz, who lives in the Emerald City. On the way to the Emerald City, Dorothy and her friends are hindered and menaced by the Wicked Witch of the West. The four travelers marvel at the wonders they find in the Emerald City a guard Frank Morgan them in but agrees then, the horse driver Frank Morgan again takes them for a drive and takes time to freshen up Dorothy, Toto and the Lion have their hair done, the Tin Woodman gets polished, and the scarecrow receives an infusion of fresh straw stuffing. When they finally see him The doorkeeper Frank Morgan again lets them in because he had an Aunt Em himself, the Wizard declines to help them until they bring him the broomstick of the Wicked Witch of the West. The guards are happy to let Dorothy have the witchs broomstick, and Dorothy and her friends return to the Emerald City. Just as the balloon is about to take off Toto runs after a cat and Dorothy follows him."
citizen kane,United States,1941,8.3,PG,PG,"Drama, Mystery",None,Mild,None,Mild,None,"Thompson digs into Kanes life and hears a lot of stories, but none of them reveal the meaning of Rosebud. Thats Charlies story  its the story of how he lost it. Kane refused, the story came out, and he lost the election along with his first marriage. In the immediate aftermath of that defeat, Leland, drunkenly incensed at Kane humiliating his family and then treating the publics political rejection of him as if they were his serfs, ask to be transferred to the Chicago newspaper to get away from him. The place is jammed with packing crates full of art and household goods, some valuable, some not. Theres a shot of all the crates thats a clear ancestor of the warehouse shot at the end of Raiders of the Lost Ark 1981. I dont think it explains anything. Raymond says, Throw that junk in, too, and in goes the sled Rosebud, probably the only thing that always stayed with Kane.  In an exterior shot, the camera pulls back from the smoking chimney to the chainlink fence with the No trespassing sign with which the movie opened, and then to Xanadus K gate."
casablanca,United States,1942,8.5,PG,PG,"Drama, Romance, War",None,Mild,None,Mild,Mild,"Unknown to Renault and the Nazis, Ugarte had left the letters with Rick for safekeeping, because .  Laszlo is a renowned Czech Resistance leader who has escaped from a Nazi concentration camp. The letters are their only way to escape to America to continue his work. When she discovered that he was still alive, she left Rick abruptly without explanation and returned to Laszlo, leaving Rick feeling betrayed. After the club closes, Ilsa returns to try to explain, but Rick is drunk and bitterly refuses to listen. At different times Rick and Ilsa torment themselves by asking the clubs piano player, Sam Dooley Wilson, to play As Time Goes By, a song they loved when they were together in Paris. Though she seems happy to be with Rick, her mood near the end of their time together is cautious because she has learned her husband may not be dead. She and Rick had been planning to take a train to Southern France to escape the German Armys assault however, on the platform Rick receives a handwritten letter from her. At the last moment, Rick makes Ilsa get on the plane to Lisbon with her husband, telling her that she would regret it if she stayed Maybe not today."
cat people,United States,1942,7.3,Not Rated,PG,"Fantasy, Horror, Thriller",Mild,Mild,None,Mild,Mild,"Irena knows only that she is attracted to Oliver and wants nothing to do with having sex with her brother, so she runs off. Thinking that Paul might have been the one keeping the escaped panther, they call the Zoo. Oliver and Alice come over. Alice is also in love with Oliver, and this is evoking feelings of rivalry in Irena. Paul turns into a panther. When Oliver comes home, Alice in tow, he is attacked by the panther. Alice calls Oliver to warn him of her experience, but Oliver is too charmed by Irena, who has just returned and is taking off her clothes, letting him know that she is ready to make love.  Oliver goes looking for Irena. Irena begs Oliver to kill her."
the picture of dorian gray,United States,1945,7.5,Not Rated,PG,"Drama, Fantasy, Horror",Mild,Mild,None,Moderate,Mild,"While posing for a painting by his artist friend Basil Hallward Lowell Gilmore, Dorian meets Basils friend Lord Henry Wotton George Sanders. Basil is also concerned about Lord Henrys influence on the impressionable Dorian, who Basil considers a dear friend and an artistic muse. Dorian excitedly tells Basil and Lord Henry that he is engaged to the beautiful Sibyl Vane, and invites them to come with him to the tavern to hear her sing. Lord Henry, on the other hand, cannot resist exploiting his innate ability to influence his friends, and suggests that Dorian test Sibyls worth with an experiment. When Dorian returns home after abandoning Sibyl, he notices a slight change in the portrait Basil had painted of him. Before he can deliver it, Lord Henry arrives with the news that Sibyl Vane had killed herself the night before. Basil is surprised and worried when he witnesses Dorians uncaring behavior in regard to Sibyls death, and Dorian plans to dedicate his life solely to his own pleasure. Basil begs Dorian to repent and change his ways, but Dorian feels a surge of anger toward Basil, blaming him for his miserable life because the painting was his own work. Dorian stabs Basil to death and locks his body in the school room with the horrible painting, in which blood has appeared on the hands of the twisted painted Dorian. It is revealed to Dorian later that the dead man was not a beater, but James Vane, having followed Dorian in revenge and lost his own life in the process."
its a wonderful life,United States,1946,8.6,PG,PG,"Drama, Family, Fantasy",None,Mild,None,Mild,Mild,"Then George starts kicking and throwing things. Mr.  Potter is completely unsympathetic and sarcastic. George leaves, though his friends urge him to stay and rest. Just as George is about to jump into the frigid river and drown, Clarence comes down to Earth his moment has come. He does so, and George jumps in and rescues him as predicted. To Georges astonishment, Clarence knows the whole story of his life.  Continuing to be in denial of what is going on, George continues to walk downtown without Clarence.  He even wishes Mr.  Potter a Merry Christmas, who sarcastically wishes him a Happy New Year in jail considering the authorities are waiting for him at home."
